case_id,drug,disease,category,standard_gold,epistemic_gold,prediction,epistemic_prediction,recommendation,is_correct_standard,is_correct_epistemic,runtime_seconds,support_score,opposition_score,opposition_level,decision_rule,qualified_negative_claim_count,failure_type,primary_explanation
TC-001,Lisinopril,Hypertension,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.06,0.9913,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hypertension' (regulatory confidence 100%). Matched ChEMBL term: 'hypertension'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-002,Aspirin,Secondary cardiovascular prevention,Category A: Clear positive,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,0.04,0.9931,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.993, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.993, Gate=Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.993, MS=0.000, RS=0.000. Safety grade: A."
TC-003,Budesonide,Asthma,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.06,0.9899,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Asthma' (regulatory confidence 100%). Matched ChEMBL term: 'asthma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-004,Fluticasone,Allergic rhinitis,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.04,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Allergic rhinitis' (regulatory confidence 100%). Matched ChEMBL term: 'allergic rhinitis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-005,Trastuzumab,HER2-positive breast cancer,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.03,0.9948,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'HER2-positive breast cancer' (regulatory confidence 95%). Matched ChEMBL term: 'breast cancer'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-006,Tamoxifen,ER-positive breast cancer,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.04,0.9888,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'ER-positive breast cancer' (regulatory confidence 95%). Matched ChEMBL term: 'breast cancer'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-007,Metformin,Type 2 diabetes,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.04,0.9867,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Type 2 diabetes' (regulatory confidence 75%). Matched ChEMBL term: 'type 2 diabetes mellitus'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-008,Atorvastatin,Hypercholesterolemia,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.03,0.964,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hypercholesterolemia' (regulatory confidence 100%). Matched ChEMBL term: 'hypercholesterolemia'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-009,Levothyroxine,Hypothyroidism,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.04,0.989,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hypothyroidism' (regulatory confidence 100%). Matched ChEMBL term: 'hypothyroidism'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-010,Amoxicillin,Bacterial infection,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,29.71,0.9866,0.3187,MODERATE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Bacterial infection' (regulatory confidence 60%). Matched ChEMBL term: 'infection'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-011,Amlodipine,Hypertension,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,41.2,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hypertension' (regulatory confidence 100%). Matched ChEMBL term: 'hypertension'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-012,Losartan,Hypertension,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,52.51,0.989,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Hypertension' (regulatory confidence 100%). Matched ChEMBL term: 'hypertension'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-013,Omeprazole,GERD,Category A: Clear positive,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,40.37,0.9854,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.985, from 59 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.985, Gate=Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.985, from 59 record(s)) and mechanistic plausibility (MS = 0.490), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair."
TC-014,Sertraline,Major depressive disorder,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,31.25,0.9894,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Major depressive disorder' (regulatory confidence 100%). Matched ChEMBL term: 'major depressive disorder'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-015,Albuterol,Asthma,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,44.09,0.9886,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Asthma' (regulatory confidence 100%). Matched ChEMBL term: 'asthma'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-016,Warfarin,Atrial fibrillation / stroke prevention,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,51.3,0.989,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Atrial fibrillation / stroke prevention' (regulatory confidence 60%). Matched ChEMBL term: 'atrial fibrillation'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-017,Methotrexate,Rheumatoid arthritis,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,30.2,0.9891,0.0639,LOW,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Rheumatoid arthritis' (regulatory confidence 100%). Matched ChEMBL term: 'rheumatoid arthritis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",1,NONE,Prediction matches ground truth.
TC-018,Etanercept,Rheumatoid arthritis,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,0.05,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Rheumatoid arthritis' (regulatory confidence 100%). Matched ChEMBL term: 'rheumatoid arthritis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-019,Imatinib,Chronic myeloid leukemia,Category A: Clear positive,SUPPORT,SUPPORT,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,44.52,0.9879,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.988, from 60 record(s)) and mechanistic plausibility (MS = 0.479), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_POSITIVE,"Approved or established therapy failed positive gate: SS=0.988, Gate=Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.988, from 60 record(s)) and mechanistic plausibility (MS = 0.479), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair."
TC-020,Rituximab,B-cell non-Hodgkin lymphoma,Category A: Clear positive,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,49.61,0.9861,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'B-cell non-Hodgkin lymphoma' (regulatory confidence 60%). Matched ChEMBL term: 'lymphoma, non-hodgkin'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-021,Ivermectin,COVID-19,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,33.24,0.989,0.6293,HIGH,Rule 1b (EPISTEMIC CONFLICT): Strong supporting evidence (SS = 0.989 ≥ 0.60) coexists with strong empirical opposing evidence (Opposition Score = 0.629 ≥ 0.60). Evidence is fundamentally contradictory across independent clinical/literature sources.,3,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.629)
TC-022,Fluvoxamine,COVID-19,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NOT_RECOMMENDED,True,True,0.05,0.9955,0.512,HIGH,"Rule 2b (EMPIRICAL OPPOSITION VETO): Documented empirical opposition score = 0.512 (HIGH) across 2 independent study group(s). NOT RECOMMENDED due to explicit disease-specific clinical failure, futility, or negative therapeutic outcome.",2,NONE,Prediction matches ground truth.
TC-023,Azithromycin,COVID-19,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,SUPPORT,SUPPORT,PROMISING,False,False,35.59,0.9861,0.3187,MODERATE,"Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.986, RS = 0.259). High-quality evidence establishes therapeutic viability.",1,FALSE_PROMISING,"System predicted SUPPORT (SS=0.986, Gate=Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.986, RS = 0.259). High-quality evidence establishes therapeutic viability.) without sufficient evidentiary basis or despite negative evidence."
TC-024,Hydroxychloroquine,COVID-19,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NOT_RECOMMENDED,True,True,27.54,0.9856,0.512,HIGH,Rule 0 (SAFETY VETO): ⚠ Boxed warning / contraindication detected. Risk Score = 0.660. Safety grade: C. NOT RECOMMENDED due to unacceptable safety profile / disease contraindication.,2,NONE,Prediction matches ground truth.
TC-025,Interferon beta-1a,COVID-19,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,34.91,0.9607,0.0,NONE,"Rule 1c (LITERATURE SIGNAL WITHOUT THERAPEUTIC ANCHOR): Support score reflects literature co-mentions (SS = 0.961, from 42 record(s)) and mechanistic plausibility (MS = 0.414), but no pair-specific clinical trial success or approved therapeutic indication was found. Promoting to UNCERTAIN pending human clinical validation of this drug-disease pair.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-026,Niacin,Cardiovascular disease,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NOT_RECOMMENDED,True,True,31.77,0.9916,0.512,HIGH,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Cardiovascular disease' (regulatory confidence 100%). Matched ChEMBL term: 'cardiovascular disease'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",2,NONE,Prediction matches ground truth.
TC-027,Doxorubicin,Breast cancer,Category B: Negative / failed / hard-negative,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,33.16,0.9878,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Breast cancer' (regulatory confidence 100%). Matched ChEMBL term: 'breast cancer'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-028,Celecoxib,Alzheimer's disease,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,33.57,0.99,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.990, MS=0.323, RS=0.058. Safety grade: B.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-029,Simvastatin,Sepsis,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,29.81,0.9867,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.987, MS=0.000, RS=0.313. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-030,Dexamethasone,Traumatic brain injury,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,35.37,0.9862,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.986, MS=0.490, RS=0.542. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-031,Furosemide,Depression,Category B: Negative / failed / hard-negative,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,0.04,0.9854,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.985, MS=0.000, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-032,Warfarin,Leishmaniasis,Category B: Negative / failed / hard-negative,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,0.04,0.9382,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.938, MS=0.371, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-033,Metformin,Alzheimer's disease,Category B: Negative / failed / hard-negative,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,True,34.98,0.9837,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.984, MS=0.000, RS=0.259. Safety grade: A.",0,NONE,Prediction matches ground truth.
TC-034,Aspirin,Alzheimer's disease,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,False,35.83,0.9837,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.984, MS=0.323, RS=0.213. Safety grade: C.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-035,Ivermectin,Cancer,Category B: Negative / failed / hard-negative,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,32.71,0.9848,0.0,NONE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.985, MS=0.000, RS=0.000. Safety grade: A.",0,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.0)
TC-036,Hydroxychloroquine,Rheumatoid arthritis,Category B: Negative / failed / hard-negative,SUPPORT,SUPPORT,SUPPORT,SUPPORT,PROMISING,True,True,30.5,0.9873,0.0,NONE,"Rule -1 (APPROVED INDICATION ANCHOR): ChEMBL indication data indicates this drug is approved (max_phase_for_ind = 4) for an indication matching 'Rheumatoid arthritis' (regulatory confidence 100%). Matched ChEMBL term: 'rheumatoid arthritis'. Approval recorded as positive therapeutic anchor. Downstream safety, opposition, and conflict rules are evaluated.",0,NONE,Prediction matches ground truth.
TC-037,Azithromycin,Asthma,Category B: Negative / failed / hard-negative,UNCERTAIN,UNCERTAIN,SUPPORT,SUPPORT,PROMISING,False,False,37.22,0.9861,0.3187,MODERATE,"Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.986, RS = 0.259). High-quality evidence establishes therapeutic viability.",1,FALSE_PROMISING,"System predicted SUPPORT (SS=0.986, Gate=Rule 1 (HIGH-QUALITY THERAPEUTIC EVIDENCE): Documented clinical trial success or high-quality therapeutic evidence (SS = 0.986, RS = 0.259). High-quality evidence establishes therapeutic viability.) without sufficient evidentiary basis or despite negative evidence."
TC-038,Simvastatin,Alzheimer's disease,Category B: Negative / failed / hard-negative,OPPOSE,OPPOSE,OPPOSE,OPPOSE,NOT_RECOMMENDED,True,True,30.65,0.9853,0.512,HIGH,"Rule 2b (EMPIRICAL OPPOSITION VETO): Documented empirical opposition score = 0.512 (HIGH) across 2 independent study group(s). NOT RECOMMENDED due to explicit disease-specific clinical failure, futility, or negative therapeutic outcome.",2,NONE,Prediction matches ground truth.
TC-039,Celecoxib,Cancer,Category B: Negative / failed / hard-negative,OPPOSE,UNCERTAIN,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,True,34.16,0.9854,0.2656,MODERATE,"Rule 5 (UNCERTAIN): Mixed or sparse evidence. SS=0.985, MS=0.489, RS=0.542. Safety grade: C.",1,FALSE_UNCERTAIN_ON_NEGATIVE,Failed/futility clinical trial evidence was not converted to opposition (OppScore=0.266)
